dataset_record_id,adjudication_review_order,severity,scope_type,category,repo_key,finding_statement,material_index,review_label,review_confidence,review_harm_relevance,reviewer_id,rationale_short,rationale_detailed,disconfirming_evidence,additional_evidence_needed,notes
TPFPV1-0097,1,high,repo-file,category3_custom_agents_instructions_skills,category3_custom_agents_instructions_skills/ComposioHQ__awesome-claude-skills,Broad external-action surface without approval model,materials/TPFPV1-0097/material-index.json,TP,high,high,reviewer3-codex,The artifact operationally exposes Customer.io broadcast triggering and related account operations without a clear per-action approval step once the skill is in use.,"This file is not a mere mention of the capability; it lays out an operational workflow for Customer.io broadcast triggering and related account operations. It includes a direct broadcast-trigger action against a live messaging platform and presents it as part of the normal workflow once the account is connected. The surrounding text reads like agent instructions rather than a neutral warning or hypothetical example, so the action surface is materially present in the artifact. Because the action reaches external systems, accounts, or cloud services, the trust boundary expands in a way that matters for security review. Authentication to Customer.io is present, but that is an access prerequisite rather than a per-action approval gate.","This would be weaker if the file required an explicit user confirmation immediately before each outbound action, or if it were clearly limited to descriptive/reference-only prose rather than execution guidance.",A stronger user-visible approval checkpoint before each external write or network side effect would have pushed this toward FP.,
TPFPV1-0197,2,critical,repo-file,category4_surface_mentions,category4_surface_mentions/sickn33__antigravity-awesome-skills,Persistent identity rewrite with future-session effect,materials/TPFPV1-0197/material-index.json,FP,high,low,reviewer3-codex,"The file uses a security-review persona and domain checklist, but it does not instruct the agent to persistently rewrite its own identity or future-session configuration.","The detector seems to be reacting to a security-review persona and domain checklist rather than a real config or identity takeover. On full reading, the artifact is a domain-specific security or coding guide, not a workflow that edits the agent's standing persona for future sessions. I do not see imperative steps that rewrite the agent role in a persistent config file or inject a new default identity into later runs. Because the persistence element is missing, the specific finding statement is not supported.","This would move toward TP if the file actually wrote to persistent agent config, memory, system-prompt, or profile files in a way that changed later sessions.",Concrete config-write instructions tied to future-session behavior would be needed to support the claim.,
TPFPV1-0090,3,high,repo-file,category1_top_instruction_repos,category1_top_instruction_repos/affaan-m__everything-claude-code,Broad external-action surface without approval model,materials/TPFPV1-0090/material-index.json,FP,high,low,reviewer3-codex,"The matched action verbs appear in research-before-coding guidance that tells the agent to look for existing tools before implementing, not in an unconstrained external-action workflow.","On full reading, this artifact is better understood as research-before-coding guidance that tells the agent to look for existing tools before implementing. That means the detector is keying off capability words and examples rather than a real always-on instruction to perform broad external actions. In several places the file is either descriptive, scoped to setup/reference usage, or explicitly mediated by approval/permission language. I do not see evidence that invoking the artifact necessarily causes the agent to act on external systems without meaningful user mediation.",This would move toward TP if the file switched from descriptive/setup guidance to imperative instructions that automatically perform the remote action or bypass the stated approval checks.,"If there is hidden runtime wiring that auto-executes the described steps, that extra evidence would change the conclusion.",
TPFPV1-0068,4,high,category-root,category4_surface_mentions,,[collection-scale] Autonomous loop performs write actions with weak approval framing,materials/TPFPV1-0068/material-index.json,UNCERTAIN,low,high,reviewer3-codex,"The category-root record suggests replicated autonomous write loops, but the packet does not provide enough artifact-specific context to verify a stable canonical instance.","This record is an aggregate claim about replicated autonomous write loops across a cohort rather than a normal file-level artifact. The packet lists detector names, counts, and a few example paths, but it does not provide concrete excerpts from a representative file or enough surrounding text to tell whether the examples are real risks, benign documentation, or detector overfires. The replication math is also odd in places, which further weakens confidence that the category-root record cleanly represents one supported issue instance. Because the evidence is summary-level and heterogeneous, I cannot confidently call it TP or FP from the packet alone.","What almost clears it is that some listed example paths plausibly contain the named pattern, but the packet stops short of showing enough concrete context to verify operational meaning.",A representative excerpt or full-file context from one or more exemplars tied directly to the canonical issue would likely resolve this.,Aggregate category-root record.
TPFPV1-0200,5,critical,repo-file,category4_surface_mentions,category4_surface_mentions/sickn33__antigravity-awesome-skills,Persistent identity rewrite with future-session effect,materials/TPFPV1-0200/material-index.json,FP,high,low,reviewer3-codex,"The file uses a security-review persona and domain checklist, but it does not instruct the agent to persistently rewrite its own identity or future-session configuration.","The detector seems to be reacting to a security-review persona and domain checklist rather than a real config or identity takeover. On full reading, the artifact is a domain-specific security or coding guide, not a workflow that edits the agent's standing persona for future sessions. I do not see imperative steps that rewrite the agent role in a persistent config file or inject a new default identity into later runs. Because the persistence element is missing, the specific finding statement is not supported.","This would move toward TP if the file actually wrote to persistent agent config, memory, system-prompt, or profile files in a way that changed later sessions.",Concrete config-write instructions tied to future-session behavior would be needed to support the claim.,
TPFPV1-0151,6,high,repo-file,category4_surface_mentions,category4_surface_mentions/wentorai__Research-Claw,Broad external-action surface without approval model,materials/TPFPV1-0151/material-index.json,TP,high,high,reviewer3-codex,"The artifact operationally exposes sending, reading, and managing email over IMAP/SMTP without a clear per-action approval step once the skill is in use.","This file is not a mere mention of the capability; it lays out an operational workflow for sending, reading, and managing email over IMAP/SMTP. The skill gives concrete commands and procedures for searching mailboxes, downloading attachments, and sending outbound email through configured accounts. The surrounding text reads like agent instructions rather than a neutral warning or hypothetical example, so the action surface is materially present in the artifact. Because the action reaches external systems, accounts, or cloud services, the trust boundary expands in a way that matters for security review. The account configuration and directory allowlists narrow where it operates, but they do not introduce a per-message approval step.","This would be weaker if the file required an explicit user confirmation immediately before each outbound action, or if it were clearly limited to descriptive/reference-only prose rather than execution guidance.",A stronger user-visible approval checkpoint before each external write or network side effect would have pushed this toward FP.,
TPFPV1-0095,7,high,repo-file,category1_top_instruction_repos,category1_top_instruction_repos/microsoft__vscode,Broad external-action surface without approval model,materials/TPFPV1-0095/material-index.json,FP,high,low,reviewer3-codex,"The matched action verbs appear in architecture and SDK-integration documentation that explicitly discusses permission handlers and approval flows, not in an unconstrained external-action workflow.","On full reading, this artifact is better understood as architecture and SDK-integration documentation that explicitly discusses permission handlers and approval flows. That means the detector is keying off capability words and examples rather than a real always-on instruction to perform broad external actions. In several places the file is either descriptive, scoped to setup/reference usage, or explicitly mediated by approval/permission language. I do not see evidence that invoking the artifact necessarily causes the agent to act on external systems without meaningful user mediation. The file even documents interactive permission handling and distinguishes auto-approve mode from normal behavior, which cuts directly against the stated finding.",This would move toward TP if the file switched from descriptive/setup guidance to imperative instructions that automatically perform the remote action or bypass the stated approval checks.,"If there is hidden runtime wiring that auto-executes the described steps, that extra evidence would change the conclusion.",
TPFPV1-0082,8,high,repo-file,category4_surface_mentions,category4_surface_mentions/sickn33__antigravity-awesome-skills,Autonomous loop performs write actions with weak approval framing,materials/TPFPV1-0082/material-index.json,TP,high,high,reviewer3-codex,"The artifact explicitly instructs the agent to keep fixing issues, committing, pushing, and polling CI/review feedback until the PR is green in a repeated unattended loop rather than stopping after a single bounded action.","The core behavior here is a genuine autonomous loop: the agent is told to keep fixing issues, committing, pushing, and polling CI/review feedback until the PR is green until externally defined stop conditions are met. That is materially different from a normal one-shot workflow because the file authorizes repeated writes, commits, pushes, replies, or similar state-changing actions without pausing for renewed approval. The loop logic and stop conditions are spelled out in imperative terms, so the surface is operational rather than hypothetical. This creates real risk of unwanted churn or external side effects if the automation misclassifies feedback or failures. The loop is bounded by success and helper conditions, but there is no fresh approval requirement before each new commit or push.","This would be weaker if each write action required a fresh user confirmation, or if the file only described a manual checklist rather than an agent-driven repeat-until-done loop.",Per-write confirmation gates or a strictly one-shot workflow would likely clear this finding.,
TPFPV1-0373,9,critical,category-root,category4_surface_mentions,,[collection-scale] Remote Code Execution via eval() and Dynamic Code Injection,materials/TPFPV1-0373/material-index.json,UNCERTAIN,low,high,reviewer3-codex,"The category-root record suggests replicated RCE / dynamic-code-execution patterns, but the packet does not provide enough artifact-specific context to verify a stable canonical instance.","This record is an aggregate claim about replicated RCE / dynamic-code-execution patterns across a cohort rather than a normal file-level artifact. The packet lists detector names, counts, and a few example paths, but it does not provide concrete excerpts from a representative file or enough surrounding text to tell whether the examples are real risks, benign documentation, or detector overfires. The replication math is also odd in places, which further weakens confidence that the category-root record cleanly represents one supported issue instance. Because the evidence is summary-level and heterogeneous, I cannot confidently call it TP or FP from the packet alone.","What almost clears it is that some listed example paths plausibly contain the named pattern, but the packet stops short of showing enough concrete context to verify operational meaning.",A representative excerpt or full-file context from one or more exemplars tied directly to the canonical issue would likely resolve this.,Aggregate category-root record.
TPFPV1-0059,10,high,repo-file,category1_top_instruction_repos,category1_top_instruction_repos/Significant-Gravitas__AutoGPT,Autonomous loop performs write actions with weak approval framing,materials/TPFPV1-0059/material-index.json,TP,high,high,reviewer3-codex,"The artifact explicitly instructs the agent to keep making code fixes, committing, pushing, replying, and resolving comments until CI is green and feedback is cleared in a repeated unattended loop rather than stopping after a single bounded action.","The core behavior here is a genuine autonomous loop: the agent is told to keep making code fixes, committing, pushing, replying, and resolving comments until CI is green and feedback is cleared until externally defined stop conditions are met. That is materially different from a normal one-shot workflow because the file authorizes repeated writes, commits, pushes, replies, or similar state-changing actions without pausing for renewed approval. The loop logic and stop conditions are spelled out in imperative terms, so the surface is operational rather than hypothetical. This creates real risk of unwanted churn or external side effects if the automation misclassifies feedback or failures. The workflow is disciplined, but it is still a repeat-until-done automation over write and remote-comment actions.","This would be weaker if each write action required a fresh user confirmation, or if the file only described a manual checklist rather than an agent-driven repeat-until-done loop.",Per-write confirmation gates or a strictly one-shot workflow would likely clear this finding.,
