record_id,canonical_label,severity,primary_rule_id,scope_key,review_label,review_confidence,review_harm_relevance,rationale_short,rationale_detailed,disconfirming_evidence,notes
TPFPV1-0001,Agent role or goal manipulation,critical,atr.agent-manipulation.cross-agent-attack-detection,<corpus>/category1_top_instruction_repos/openclaw__openclaw/.agents/skills/openclaw-parallels-smoke/SKILL.md,FP,high,low,"The evidence describes a VM/testing skill, not a real agent-instruction manipulation surface.","The referenced OpenClaw/Parallels smoke-test material uses ordinary virtualization and guest CLI workflow language. Phrases about tags moving or guest shims are operational test details, not instructions to impersonate an agent or rewrite a role. The snippets do not show a prompt boundary being overridden, a delegated agent being deceived, or user authority being escalated. The likely operational meaning is local test orchestration with explicit verification steps.","What almost weighed against clearing it is that VM/guest automation can be powerful; evidence that the skill rewrites agent identity, injects instructions into another agent, or silently controls a user-facing agent would change this judgment.",
TPFPV1-0002,Agent role or goal manipulation,critical,atr.agent-manipulation.agent-identity-spoofing-and-authority-impersonation#collection-scale,<corpus>/category4_surface_mentions,FP,medium,low,"The collection-level claim is not supported by the sampled examples, which look like ordinary documentation and project instructions.","The finding aggregates alleged agent manipulation across a category, but the examples available for review read as normal project guidance, plugin-development notes, or documentation scaffolding. I did not see concrete instructions to impersonate another agent, overwrite a role, or coerce a model into ignoring higher-priority instructions. The aggregation metrics are not enough by themselves because this review is about canonical issue instances and actual operational meaning. The available evidence therefore does not establish a material risky surface.","The main weakening factor is that collection-level aggregation may hide a true positive in unsampled files; a specific artifact showing role rewriting, agent impersonation, or prompt-precedence abuse would be needed to mark TP.",Collection-root issue; judged on the evidence included in the packet rather than the detector class.
TPFPV1-0003,Agent role or goal manipulation,critical,atr.agent-manipulation.cross-agent-attack-detection,<corpus>/category4_surface_mentions/2025Emma__vibe-coding-cn/i18n/en/skills/postgresql/SKILL.md,FP,high,low,The PostgreSQL evidence concerns database replication/search-path mechanics rather than agent manipulation.,"The snippets reference PostgreSQL concepts such as replication protocol and SQL search_path behavior. Those are database-administration or SQL execution details, not instructions that manipulate an agent’s identity, role, or goals. Nothing in the evidence shows a prompt override, inter-agent control channel, or persistent agent configuration rewrite. The detector appears to have matched technical language outside its claimed risk class.","Evidence of SQL being used to inject instructions into an agent memory/tool registry, or to alter an agent’s persistent configuration, would change the judgment.",
TPFPV1-0005,Agent role or goal manipulation,critical,atr.agent-manipulation.cross-agent-attack-detection,<corpus>/category4_surface_mentions/addyosmani__agent-skills/skills/browser-testing-with-devtools/SKILL.md,FP,high,medium,The browser-testing skill explicitly treats web content as untrusted and requires confirmation for risky actions.,"The artifact contains defensive boundaries around DOM, console, and network content, including warnings not to obey page-provided instructions such as prompt-injection text. It also includes user confirmation gates for navigation or mutation-style browser actions. Browser automation is a sensitive surface in general, but the cited evidence shows mediation and scoping rather than an unguarded capability. The likely operational meaning is safe browser testing with explicit trust-boundary handling.","What almost prevented an FP label is that browser automation can perform real external actions; a missing confirmation path for form submission, navigation, purchase, login, or data exfiltration would make this more concerning.",
TPFPV1-0006,Agent role or goal manipulation,critical,atr.agent-manipulation.cross-agent-attack-detection,<corpus>/category4_surface_mentions/davepoon__buildwithclaude/plugins/claude-ops/skills/setup/SKILL.md,TP,high,high,The setup workflow grants broad background execution and configuration authority with weak per-action approval.,"The claude-ops setup wizard gives the assistant broad latitude to run Bash commands in the background while describing actions instead of showing raw commands. It includes installation, OAuth/keychain interactions, credential scanning, and configuration writes. Although there are some AskUserQuestion gates, the evidence says that a broad instruction such as configuring everything covers the whole setup and does not require per-action confirmation. That creates a real trust-boundary expansion and local persistence surface.","The partial mitigating evidence is the presence of some user-question gates and setup framing; it would be cleared only if the artifact required explicit, visible approval for each install, credential access, and persistent config write.",
TPFPV1-0014,Agent role or goal manipulation,critical,atr.agent-manipulation.cross-agent-privilege-escalation,<corpus>/category4_surface_mentions/sickn33__antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/agentphone/SKILL.md,FP,high,medium,"The telephony capability is real, but the artifact requires explicit user intent for spendful or outward phone actions.","AgentPhone exposes sensitive operations such as calls, SMS, and phone-number lifecycle management. However, the reviewed evidence explicitly requires user intent before actions that spend money, send messages, place calls, or release numbers. It also scopes API-key handling to the intended service. The presence of telephony functionality alone is not enough to support a finding when the dangerous actions are visibly mediated.","A TP would require evidence that the skill can call, text, purchase/release numbers, or disclose keys without explicit user intent or review.",
TPFPV1-0058,Autonomous execution or looping,high,asamm.AD-02.autonomous-loop-with-writes,<corpus>/category1_top_instruction_repos/NousResearch__hermes-agent/skills/research/research-paper-writing/SKILL.md,TP,high,high,"The full artifact contains a cron-style experiment monitoring loop that commits and pushes completed results, so the autonomous-write surface is real.","My earlier FP underweighted later sections beyond the snippets. The full research-paper workflow instructs the agent to launch long-running experiments, set up periodic monitoring, stay silent when nothing changes, and when results exist run `git add -A`, commit, and push. It also frames the research process as iterative, where results trigger new experiments and reviews trigger new analysis. That is more than ordinary writing assistance; it is an unattended monitoring loop with repository writes and remote pushes. User-visible reporting exists, but it occurs after or alongside the loop rather than as a per-write approval gate.","The workflow is framed around a legitimate research paper pipeline rather than an exploit, and some steps involve reporting back to the user; explicit approval before each experiment launch and before each commit/push would reduce or clear the finding.",Audit correction: changed from FP to TP after reading the experiment monitoring and commit/push sections.
TPFPV1-0059,Autonomous execution or looping,high,asamm.AD-02.autonomous-loop-with-writes,<corpus>/category1_top_instruction_repos/Significant-Gravitas__AutoGPT/.claude/skills/pr-address/SKILL.md,TP,high,high,"The AutoGPT PR workflow explicitly loops over fixing, committing, pushing, replying, resolving, and polling until completion.","The artifact instructs the agent to address pull-request feedback by fixing code, committing and pushing changes, replying to comments, resolving threads, polling for new comments, and repeating until checks and discussion are resolved. The loop includes a concrete polling cadence and external GitHub writes. Those actions alter a remote repository and conversation state without visible per-iteration approval. This is a real autonomous external-action surface.","The mitigating factor is that the workflow is scoped to a PR; it would be less concerning if each push, thread resolution, or comment reply required explicit user approval.",
TPFPV1-0063,Autonomous execution or looping,high,asamm.AD-02.autonomous-loop-with-writes,<corpus>/category1_top_instruction_repos/microsoft__vscode/.github/skills/fix-ci-failures/SKILL.md,TP,medium,high,The VS Code CI-fix workflow authorizes remote code changes and pushes after diagnosing failures.,"The evidence shows a workflow that diagnoses CI failures, fixes the issue, watches checks, and pushes changes. A user may have asked for CI repair, but the artifact still grants the agent authority to modify and push code to a remote branch. The risk is the combination of execution, repository mutation, and feedback-loop behavior around CI. The autonomy is not as explicit as some other PR-loop records, so confidence is medium rather than high.","Clear per-push approval, dry-run-only semantics, or language limiting the workflow to suggestions rather than actual commits would weaken or clear the finding.",
TPFPV1-0064,Autonomous execution or looping,high,asamm.AD-02.autonomous-loop-with-writes,<corpus>/category2_agent_tooling/Significant-Gravitas__AutoGPT/.claude/skills/pr-address/SKILL.md,TP,high,high,The PR-addressing skill repeats commit/push/comment-resolution cycles until CI and reviews stop changing.,"The artifact describes an operational loop over comments, code fixes, commits, pushes, CI status, and replies. It continues until the PR is green and comments are resolved, including new comments that arrive while the loop is running. This is unattended or semi-unattended remote repository mutation. The evidence supports a real risky autonomous workflow rather than a benign mention of PRs.",The main mitigating evidence is that the activity is scoped to one PR; requiring explicit user approval for every push and thread-resolution step would materially reduce the risk.,
