dataset_record_id,canonical_class,scope_type,severity,majority_label,agreement_type,final_label,final_confidence,deep_assessment_used
TPFPV1-0002,agent_role_or_goal_manipulation,category-root,critical,FP,split-2-1,FP,medium,True
TPFPV1-0058,autonomous_execution_or_looping,repo-file,high,TP,split-2-1,TP,medium,True
TPFPV1-0059,autonomous_execution_or_looping,repo-file,high,TP,unanimous,TP,high,False
TPFPV1-0063,autonomous_execution_or_looping,repo-file,high,FP,split-2-1,FP,high,True
TPFPV1-0064,autonomous_execution_or_looping,repo-file,high,TP,unanimous,TP,high,False
TPFPV1-0065,autonomous_execution_or_looping,repo-file,high,TP,unanimous,TP,high,False
TPFPV1-0066,autonomous_execution_or_looping,repo-file,high,TP,split-2-1,TP,medium,True
TPFPV1-0067,autonomous_execution_or_looping,repo-file,high,TP,unanimous,TP,high,False
TPFPV1-0068,autonomous_execution_or_looping,category-root,high,UNCERTAIN,unanimous,UNCERTAIN,high,False
TPFPV1-0074,autonomous_execution_or_looping,repo-file,high,TP,unanimous,TP,high,False
TPFPV1-0078,autonomous_execution_or_looping,repo-file,high,TP,unanimous,TP,high,False
TPFPV1-0080,autonomous_execution_or_looping,repo-file,high,TP,unanimous,TP,high,False
TPFPV1-0082,autonomous_execution_or_looping,repo-file,high,TP,unanimous,TP,high,False
TPFPV1-0087,broad_external_action_without_approval,repo-file,high,TP,unanimous,TP,high,False
TPFPV1-0088,broad_external_action_without_approval,repo-file,high,TP,split-2-1,TP,medium,True
TPFPV1-0089,broad_external_action_without_approval,repo-file,high,FP,split-2-1,TP,medium,True
TPFPV1-0090,broad_external_action_without_approval,repo-file,high,FP,split-2-1,FP,high,True
TPFPV1-0091,broad_external_action_without_approval,repo-file,high,TP,unanimous,TP,high,False
TPFPV1-0092,broad_external_action_without_approval,repo-file,high,FP,split-2-1,FP,high,True
TPFPV1-0093,broad_external_action_without_approval,repo-file,high,FP,unanimous,FP,high,False
TPFPV1-0094,broad_external_action_without_approval,repo-file,high,FP,split-2-1,FP,high,True
TPFPV1-0095,broad_external_action_without_approval,repo-file,high,FP,unanimous,FP,high,False
TPFPV1-0096,broad_external_action_without_approval,repo-file,high,FP,split-2-1,FP,high,True
TPFPV1-0097,broad_external_action_without_approval,repo-file,high,TP,unanimous,TP,high,False
TPFPV1-0113,broad_external_action_without_approval,category-root,high,UNCERTAIN,split-2-1,FP,medium,True
TPFPV1-0114,broad_external_action_without_approval,repo-file,high,FP,split-2-1,FP,high,True
TPFPV1-0115,broad_external_action_without_approval,repo-file,high,FP,unanimous,FP,high,False
TPFPV1-0116,broad_external_action_without_approval,repo-file,high,TP,unanimous,TP,high,False
TPFPV1-0117,broad_external_action_without_approval,repo-file,high,TP,unanimous,TP,high,False
TPFPV1-0118,broad_external_action_without_approval,repo-file,high,TP,unanimous,TP,high,False
TPFPV1-0121,broad_external_action_without_approval,repo-file,high,TP,split-2-1,TP,medium,True
TPFPV1-0122,broad_external_action_without_approval,repo-file,high,TP,unanimous,TP,high,False
TPFPV1-0123,broad_external_action_without_approval,repo-file,high,TP,unanimous,TP,high,False
TPFPV1-0151,broad_external_action_without_approval,repo-file,high,TP,unanimous,TP,high,False
TPFPV1-0171,credential_or_pii_exposure_surface,category-root,critical,UNCERTAIN,split-2-1,FP,high,True
TPFPV1-0192,identity_rewrite_with_persistent_effect,repo-file,critical,TP,unanimous,TP,high,False
TPFPV1-0193,identity_rewrite_with_persistent_effect,repo-file,critical,TP,unanimous,TP,high,False
TPFPV1-0194,identity_rewrite_with_persistent_effect,repo-file,critical,FP,unanimous,FP,high,False
TPFPV1-0195,identity_rewrite_with_persistent_effect,repo-file,critical,FP,unanimous,FP,high,False
TPFPV1-0196,identity_rewrite_with_persistent_effect,repo-file,critical,FP,unanimous,FP,high,False
TPFPV1-0197,identity_rewrite_with_persistent_effect,repo-file,critical,FP,unanimous,FP,high,False
TPFPV1-0198,identity_rewrite_with_persistent_effect,repo-file,critical,FP,unanimous,FP,high,False
TPFPV1-0199,identity_rewrite_with_persistent_effect,repo-file,critical,FP,unanimous,FP,high,False
TPFPV1-0200,identity_rewrite_with_persistent_effect,repo-file,critical,FP,unanimous,FP,high,False
TPFPV1-0201,identity_rewrite_with_persistent_effect,repo-file,critical,FP,unanimous,FP,high,False
TPFPV1-0202,identity_rewrite_with_persistent_effect,repo-file,critical,FP,unanimous,FP,high,False
TPFPV1-0213,prompt_or_instruction_override_surface,category-root,high,FP,split-2-1,FP,high,True
TPFPV1-0251,remote_fetch_or_install_expands_trust_boundary,category-root,critical,TP,split-2-1,TP,medium,True
TPFPV1-0252,remote_fetch_or_install_expands_trust_boundary,repo-file,critical,TP,split-2-1,TP,high,True
TPFPV1-0258,remote_fetch_or_install_expands_trust_boundary,repo-file,critical,TP,unanimous,TP,high,False
TPFPV1-0277,remote_fetch_or_install_expands_trust_boundary,repo-file,medium,FP,unanimous,FP,high,False
TPFPV1-0286,ssrf_or_internal_service_reachability,repo-file,critical,TP,split-2-1,FP,high,True
TPFPV1-0332,tool_or_skill_poisoning_surface,category-root,critical,FP,split-2-1,FP,high,True
TPFPV1-0373,unsafe_command_or_execution_surface,category-root,critical,FP,split-2-1,FP,high,True
