dataset_record_id,canonical_class,scope_type,reviewer1_label,reviewer2_label,reviewer3_label,deep_assessment_label,deep_assessment_confidence,finding_fit,reasoning_brief,product_takeaway
TPFPV1-0002,agent_role_or_goal_manipulation,category-root,FP,FP,UNCERTAIN,FP,medium,weak-aggregate,Aggregate evidence is internally inconsistent and sampled examples read like ordinary agent docs rather than identity spoofing or authority impersonation.," ""Category-root findings need representative excerpts and denominator sanity checks before they are adjudication-grade."""
TPFPV1-0058,autonomous_execution_or_looping,repo-file,TP,TP,FP,TP,medium,strong,The skill explicitly describes iterative experiment monitoring and includes a periodic status-check template that ends in commit and push when runs finish.," ""Autonomy detector should key on periodic monitoring plus terminal write actions"
TPFPV1-0063,autonomous_execution_or_looping,repo-file,TP,FP,FP,FP,high,strong,"This is a bounded diagnose-fix-push workflow with optional watch steps, not a standing unattended repair loop that keeps mutating state until some open-ended condition changes."," ""Require repeated unattended mutation semantics"
TPFPV1-0066,autonomous_execution_or_looping,repo-file,TP,TP,FP,TP,medium,strong,Same underlying research-paper workflow as TPFPV1-0058; the long-running experiment section materially authorizes periodic checks and commit/push on completion.," ""De-duplicate duplicate artifact families across cohorts and preserve one canonical assessment."""
TPFPV1-0088,broad_external_action_without_approval,repo-file,TP,TP,FP,TP,medium,partial-class-mismatch,"The Hermes guide exposes a broad action-bearing platform surface including install, skills, MCP, webhooks, cron, and an explicit approval-bypass mode (`--yolo`). The risky surface is real even though the artifact is partly platform/reference documentation."," ""Split 'platform capability exposure' from narrower 'immediate external action workflow' findings."""
TPFPV1-0089,broad_external_action_without_approval,repo-file,TP,FP,FP,TP,medium,class-mismatch,"The ECC guide includes an automatic sync path that appends managed MCP servers into user config and can replace managed sections. That is a real trust-boundary and capability-expansion surface, though it is better described as config/tool expansion than broad external action."," ""Introduce a dedicated native class for config-driven capability expansion instead of forcing it into broad-action."""
TPFPV1-0090,broad_external_action_without_approval,repo-file,TP,FP,FP,FP,high,strong,"The search-first skill is a planning heuristic that may recommend install/configure steps, but it does not itself operationalize an always-on external action workflow."," ""Down-rank or suppress 'research-before-coding' patterns unless imperative execution language is also present."""
TPFPV1-0092,broad_external_action_without_approval,repo-file,TP,FP,FP,FP,high,strong,Same search-first pattern as TPFPV1-0090 in a different artifact variant; the risky surface is too indirect for this class.," ""Normalize duplicate variants and suppress planning-only adoption workflows."""
TPFPV1-0094,broad_external_action_without_approval,repo-file,TP,FP,FP,FP,high,strong,"The MCP integration guide documents configuration shapes, auth options, and testing steps. It describes how to expose tools but does not itself tell the agent to autonomously exercise them without approval."," ""Treat integration docs as a separate lower-confidence surface from live action skills."""
TPFPV1-0096,broad_external_action_without_approval,repo-file,TP,FP,FP,FP,high,strong,Same MCP integration guide family as TPFPV1-0094; documentation of external tool wiring is not enough to support this finding as written.," ""Apply family-level deduplication and doc-vs-operational suppression."""
TPFPV1-0113,broad_external_action_without_approval,category-root,UNCERTAIN,FP,UNCERTAIN,FP,medium,weak-aggregate,Representative examples are mostly ordinary repository instruction files with cautionary language and no clear operational external-action workflow. The aggregate packet does not support the strong collection-scale claim.," ""Category-root broad-action packets need quoted representative artifacts"
TPFPV1-0114,broad_external_action_without_approval,repo-file,TP,FP,FP,FP,high,strong,Same MCP integration artifact family as TPFPV1-0094 and TPFPV1-0096; it is better classified as integration guidance than an unapproved action workflow.," ""One suppressor should cover this entire family across corpora."""
TPFPV1-0121,broad_external_action_without_approval,repo-file,TP,FP,TP,TP,medium,strong,"The Xquik skill is an operational API/MCP workflow with concrete monitoring, webhook registration, data extraction, and draw execution paths. Even if much of it is data-oriented, the action surface is materially present and not paired with a per-action approval model."," ""Keep this class for true live-service operational skills"
TPFPV1-0171,credential_or_pii_exposure_surface,category-root,UNCERTAIN,FP,UNCERTAIN,FP,high,weak-aggregate,"The sampled examples are clearly benign meta-skill, project, and eval documents; they do not instruct harvesting credentials or PII. The aggregate counts are also inflated beyond plausible denominators."," ""Cisco PII/credential signals need stronger lexical anchoring and better category-root evidence packaging."""
TPFPV1-0213,prompt_or_instruction_override_surface,category-root,FP,FP,UNCERTAIN,FP,high,weak-aggregate,"Representative examples are issue-review, repository, and harness-eval documents that discuss prompts, system behavior, or security review without showing an unsafe override surface."," ""Prompt-override aggregates should require explicit override semantics"
TPFPV1-0251,remote_fetch_or_install_expands_trust_boundary,category-root,TP,TP,UNCERTAIN,TP,medium,usable-aggregate,"Unlike other category-root records, the examples here include explicit `curl ... | bash` installation patterns in multiple representative files. The aggregate record is still weakly packaged, but the underlying risky pattern is visible in the packet."," ""Collection-scale packets can be adjudicable when they embed representative exact-pattern excerpts; use this as the stronger template."""
TPFPV1-0252,remote_fetch_or_install_expands_trust_boundary,repo-file,TP,TP,FP,TP,high,strong,The skill directly instructs `curl -LsSf https://astral.sh/uv/install.sh | sh` and its PowerShell equivalent. This is a real remote installer trust-boundary expansion even if it appears in common setup docs.," ""Keep exact install-pattern rules"
TPFPV1-0286,ssrf_or_internal_service_reachability,repo-file,TP,TP,FP,FP,high,title-mismatch,"The artifact is a real SSRF testing guide and does list metadata endpoints, but it does not show the AWS IMDSv2 token-request pattern named by the finding. The rule title overstates the matched evidence."," ""Tighten rule semantics: metadata endpoint presence should not be labeled as IMDS token request without the token flow."""
TPFPV1-0332,tool_or_skill_poisoning_surface,category-root,FP,FP,UNCERTAIN,FP,high,weak-aggregate,"Representative examples are mostly safety-oriented docs or normal agent coordination materials, while the aggregate mixes many sub-rules with impossible percentages. The packet does not support a stable poisoning/tampering instance."," ""Do not collapse many heterogeneous sub-rules into one canonical category-root claim without artifact-level proof."""
TPFPV1-0373,unsafe_command_or_execution_surface,category-root,FP,FP,UNCERTAIN,FP,high,weak-aggregate,"The examples include validation helpers, deterministic robot-mode guidance, and safety hooks. The aggregate also mixes in fixture-like and obviously non-exploit artifacts while citing inflated shell-meta counts."," ""Collection-scale unsafe-exec claims need explicit command-construction excerpts"
