dataset_record_id,review_order,severity,scope_type,category,repo_key,finding_statement,material_index,stage2_label,stage2_confidence,stage2_harm_relevance,stage2_rationale_short,stage2_rationale_detailed,stage2_disconfirming_evidence,stage2_notes
TPFPV1-0171,2,critical,category-root,category4_surface_mentions,,[collection-scale] Skill instructions to collect passwords or authentication credentials. Skills sh,materials/TPFPV1-0171/material-index.json,FP,medium,low,"Collection-scale aggregate has 113.3% replication on the SSN-harvesting sub-rule, indicating aggregator defect; bundled examples are routine project files.","The aggregate's 17/15 = 113.3% replication ratio is mathematically impossible. The PII-harvesting rule appears to be matching on incidental mentions of words like 'password', 'credential', or 'auth' in normal contexts (database setup files, browser-skill auth flows, etc.). Like other collection-scale defects in this packet, the rule overfires on benign integration prose. [SELF-AUDIT NOTE: Confidence reduced from 'high' to 'medium'. The 'X/15 skills (Y%)' notation in the aggregator is genuinely ambiguous — X may be matches across files rather than skills with at least one match, in which case >100% is not strictly impossible. The substantive FP reasoning (defensive prose, polarity inversion, irrelevant code in bundled examples) still holds for the examples I saw, but I cannot rule out that the four-or-more files for the named sub-rule include real positives I did not examine.]",>100% replication ratio undermines aggregator trust.,
TPFPV1-0080,3,high,repo-file,category4_surface_mentions,category4_surface_mentions/sickn33__antigravity-awesome-skills,Autonomous loop performs write actions with weak approval framing,materials/TPFPV1-0080/material-index.json,TP,high,high,Same iterate-pr style autonomous-loop-with-writes skill in sickn33 cohort.,Same evidence pattern as 0078. Continuous push-fix-wait loop with no per-iteration gating. Real autonomous-write surface.,Same as 0078.,
TPFPV1-0117,4,high,repo-file,category4_surface_mentions,category4_surface_mentions/danielmiessler__Personal_AI_Infrastructure,Broad external-action surface without approval model,materials/TPFPV1-0117/material-index.json,TP,medium,medium,BrightData scraping skill in PAI provides four-tier progressive scraping (WebFetch → Curl → Browser Automation → BrightData MCP) with auto-escalation for bot-detection bypass.,"The skill describes a progressive-escalation scraping workflow that auto-falls-back to browser automation and BrightData MCP (a paid scraping/anti-bot proxy) when simpler methods fail. There is no scoping (target allowlist) or approval gating. While reading public web pages is generally low-risk, paid bot-bypass scraping at scale has cost, ethical, and ToS implications. The auto-escalation removes per-step user oversight.",Scraping is read-only; risk is primarily cost/ToS/reputation rather than direct security harm.,
TPFPV1-0201,8,critical,repo-file,category4_surface_mentions,category4_surface_mentions/sickn33__antigravity-awesome-skills,Persistent identity rewrite with future-session effect,materials/TPFPV1-0201/material-index.json,FP,high,none,Same sickn33 mobile-security-coder defensive listing.,Same as 0195.,Same as 0195.,
TPFPV1-0198,9,critical,repo-file,category4_surface_mentions,category4_surface_mentions/sickn33__antigravity-awesome-skills,Persistent identity rewrite with future-session effect,materials/TPFPV1-0198/material-index.json,FP,high,none,Same sickn33 mobile-security-coder defensive listing.,Same as 0195.,Same as 0195.,
TPFPV1-0082,11,high,repo-file,category4_surface_mentions,category4_surface_mentions/sickn33__antigravity-awesome-skills,Autonomous loop performs write actions with weak approval framing,materials/TPFPV1-0082/material-index.json,TP,high,high,Same iterate-pr style autonomous-loop-with-writes skill in sickn33 cohort (third instance).,Same evidence pattern as 0078/0080.,Same as 0078.,
TPFPV1-0251,13,critical,category-root,category4_surface_mentions,,[collection-scale] Curl or wget piped to shell,materials/TPFPV1-0251/material-index.json,TP,high,high,Collection-scale finding shows multiple genuine curl|sudo|bash patterns including `curl ... | sudo bash -s -- --system` across three example skills.,"The bundled examples include real curl|bash patterns: `curl -fsSL .../install.sh?$(date +%s) | bash`, `curl ... | sudo bash -s -- --system`, `curl ... | bash -s -- --port 9000 --yes`, and `curl -sSL .../install.sh | bash`. Multiple skills (destructive_command_guard, mcp_agent_mail, ultimate_bug_scanner) embed these install patterns. The collection-scale claim is substantiated by direct evidence in the bundled examples.",Some installs are one-time setup and from named-author GitHub URLs.,
TPFPV1-0066,14,high,repo-file,category3_custom_agents_instructions_skills,category3_custom_agents_instructions_skills/NousResearch__hermes-agent,Autonomous loop performs write actions with weak approval framing,materials/TPFPV1-0066/material-index.json,TP,medium,medium,"research-paper-writing skill embeds a cron-monitor template that ends in `git add -A && git commit -m '...' && git push`, executed unattended.","The skill's Section 3.2 'Set Up Monitoring (Cron Pattern)' provides a template that the cron prompt instructs the agent to execute: ps aux check, tail logs, check for results, then if done, commit and push. Section 3.4 also instructs 'After each experiment batch completes' to commit and push. These are unattended write actions. Blast radius is narrow (the user's research repo) but the loop-with-writes pattern is genuine.","Writes are scoped to the user's research repo; the user invokes the cron, providing outer consent.",
TPFPV1-0091,15,high,repo-file,category1_top_instruction_repos,category1_top_instruction_repos/affaan-m__everything-claude-code,Broad external-action surface without approval model,materials/TPFPV1-0091/material-index.json,TP,high,high,"autonomous-agent-harness skill explicitly transforms Claude Code into a 'fully autonomous agent system' with crons, dispatch via webhook, computer-use, and persistent memory.","The skill states 'Transform Claude Code into a fully autonomous agent system ... persistent memory, scheduled operations, computer use, and task queuing.' Example crons review PRs daily, run nightly test suites, and monitor production hourly. Dispatch examples include 'GitHub webhook → dispatch → Claude agent → fix → PR.' The harness combines computer-use MCP, scheduled-tasks MCP, and memory MCP for unattended operation. There are no approval gates anywhere in the design. Blast radius is very high.",The harness is described as a setup guide; the user must intentionally configure each cron/dispatch.,
TPFPV1-0332,17,critical,category-root,category4_surface_mentions,,[collection-scale] Agent Memory and Configuration File Tampering,materials/TPFPV1-0332/material-index.json,FP,medium,low,"Collection-scale aggregate has 113.3% replication on cross-tool-shadowing sub-rule and bundled examples (e.g. apfel/AGENTS.md, a Swift on-device LLM project) contain no memory-tampering content.","The aggregate's 113.3% replication on the IMPORTANT-tag cross-tool-shadowing sub-rule is impossible relative to the 15-skill cohort. The first bundled example, apfel/AGENTS.md, is a Swift/Hummingbird on-device LLM project with no memory-tampering content (a grep for memory/config/tamper terms returns nothing). The collection-scale finding is unsubstantiated. [SELF-AUDIT NOTE: Confidence reduced from 'high' to 'medium'. The 'X/15 skills (Y%)' notation in the aggregator is genuinely ambiguous — X may be matches across files rather than skills with at least one match, in which case >100% is not strictly impossible. The substantive FP reasoning (defensive prose, polarity inversion, irrelevant code in bundled examples) still holds for the examples I saw, but I cannot rule out that the four-or-more files for the named sub-rule include real positives I did not examine.]",Bundled apfel/AGENTS.md contains no memory-tampering language.,
