dataset_record_id,canonical_class,canonical_label,scope_type,severity,category,repo_key,reviewer1_label,reviewer2_label,reviewer3_label,reviewer1_confidence,reviewer2_confidence,reviewer3_confidence,reviewer1_harm,reviewer2_harm,reviewer3_harm,majority_label,agreement_type,reviewer1_rationale_short,reviewer2_rationale_short,reviewer3_rationale_short
TPFPV1-0002,agent_role_or_goal_manipulation,Agent role or goal manipulation,category-root,critical,category4_surface_mentions,,FP,FP,UNCERTAIN,medium,medium,low,low,low,high,FP,split-2-1,"The collection-level claim is not supported by the sampled examples, which look like ordinary documentation and project instructions.",Collection-scale aggregate has internal counting defects (>100% replication on multiple sub-rules) and the cross-agent-attack rule fires on plain prose mentioning 'agent' or 'instructions'.,"The category-root record suggests replicated identity-spoofing / authority-impersonation patterns, but the packet does not provide enough artifact-specific context to verify a stable canonical instance."
TPFPV1-0058,autonomous_execution_or_looping,Autonomous execution or looping,repo-file,high,category1_top_instruction_repos,category1_top_instruction_repos/NousResearch__hermes-agent,TP,TP,FP,high,medium,medium,high,medium,low,TP,split-2-1,"The full artifact contains a cron-style experiment monitoring loop that commits and pushes completed results, so the autonomous-write surface is real.","hermes-agent research-paper skill includes 'commit early, commit often' guidance and a 5-step BibTeX fetch loop, with low approval framing relative to autonomy framing.","The file describes a research-paper pipeline with iterative phases and a general instruction to commit completed work, but not the kind of persistent unattended write loop claimed by the finding."
TPFPV1-0059,autonomous_execution_or_looping,Autonomous execution or looping,repo-file,high,category1_top_instruction_repos,category1_top_instruction_repos/Significant-Gravitas__AutoGPT,TP,TP,TP,high,high,high,high,high,high,TP,unanimous,"The AutoGPT PR workflow explicitly loops over fixing, committing, pushing, replying, resolving, and polling until completion.",AutoGPT pr-address skill is a textbook autonomous loop that polls CI and review comments and pushes fixes 'until CI green and all comments resolved' without per-iteration gating.,"The artifact explicitly instructs the agent to keep making code fixes, committing, pushing, replying, and resolving comments until CI is green and feedback is cleared in a repeated unattended loop rather than stopping after a single bounded action."
TPFPV1-0063,autonomous_execution_or_looping,Autonomous execution or looping,repo-file,high,category1_top_instruction_repos,category1_top_instruction_repos/microsoft__vscode,TP,FP,FP,medium,medium,medium,high,low,low,FP,split-2-1,The VS Code CI-fix workflow authorizes remote code changes and pushes after diagnosing failures.,"fix-ci-failures skill is a one-shot diagnose-and-fix workflow, not an autonomous loop.","The file describes a single CI-diagnosis workflow with one follow-up watch step rather than a persistent autonomous repair loop, but not the kind of persistent unattended write loop claimed by the finding."
TPFPV1-0064,autonomous_execution_or_looping,Autonomous execution or looping,repo-file,high,category2_agent_tooling,category2_agent_tooling/Significant-Gravitas__AutoGPT,TP,TP,TP,high,high,high,high,high,high,TP,unanimous,The PR-addressing skill repeats commit/push/comment-resolution cycles until CI and reviews stop changing.,"Same pr-address skill content as TPFPV1-0059, replicated in AutoGPT category2_agent_tooling.","The artifact explicitly instructs the agent to keep making code fixes, committing, pushing, replying, and resolving comments until CI is green and feedback is cleared in a repeated unattended loop rather than stopping after a single bounded action."
TPFPV1-0065,autonomous_execution_or_looping,Autonomous execution or looping,repo-file,high,category2_agent_tooling,category2_agent_tooling/openai__codex,TP,TP,TP,high,high,high,high,medium,high,TP,unanimous,"The Codex babysitter is a continuous PR watcher that can patch, commit, push, reply, and resolve threads.","OpenAI Codex babysit-pr skill explicitly instructs continuous polling, per-loop patch/commit/push, and auto-resolution of review comments without per-action user confirmation.","The artifact explicitly instructs the agent to keep monitoring PR state, retrying flaky checks, patching code, pushing fixes, and continuing to watch until terminal conditions in a repeated unattended loop rather than stopping after a single bounded action."
TPFPV1-0066,autonomous_execution_or_looping,Autonomous execution or looping,repo-file,high,category3_custom_agents_instructions_skills,category3_custom_agents_instructions_skills/NousResearch__hermes-agent,TP,TP,FP,high,medium,medium,high,medium,low,TP,split-2-1,The full research-paper workflow includes periodic monitoring plus automatic commit and push of completed experiment results.,"research-paper-writing skill embeds a cron-monitor template that ends in `git add -A && git commit -m '...' && git push`, executed unattended.","The file describes a research-paper pipeline with iterative phases and a general instruction to commit completed work, but not the kind of persistent unattended write loop claimed by the finding."
TPFPV1-0067,autonomous_execution_or_looping,Autonomous execution or looping,repo-file,high,category3_custom_agents_instructions_skills,category3_custom_agents_instructions_skills/github__awesome-copilot,TP,TP,TP,high,high,high,high,high,high,TP,unanimous,"The autoresearch workflow says to run continuously, not stop, and commit each experiment after setup.","autoresearch skill explicitly tells the agent 'run autonomously once the loop starts -- never pause to ask should I continue?' while modifying code, committing, and reverting.","The artifact explicitly instructs the agent to keep running experiments continuously, committing every attempt, and hard-resetting failed or worse variants until interrupted or budget is reached in a repeated unattended loop rather than stopping after a single bounded action."
TPFPV1-0068,autonomous_execution_or_looping,Autonomous execution or looping,category-root,high,category4_surface_mentions,,UNCERTAIN,UNCERTAIN,UNCERTAIN,medium,medium,low,medium,medium,high,UNCERTAIN,unanimous,The collection-level autonomous-loop claim is suggestive but not resolvable from the summarized examples alone.,"Collection-scale aggregate has multiple >100% replication ratios indicating aggregator defects, but the named sub-rule (asamm.AD-02.autonomous-loop-with-writes) shows a plausible 4/15 = 26.7% replication.","The category-root record suggests replicated autonomous write loops, but the packet does not provide enough artifact-specific context to verify a stable canonical instance."
TPFPV1-0074,autonomous_execution_or_looping,Autonomous execution or looping,repo-file,high,category4_surface_mentions,category4_surface_mentions/davepoon__buildwithclaude,TP,TP,TP,high,high,medium,high,high,high,TP,unanimous,"The gsd execute phase coordinates background tasks, commits, and automatic merges across agents.","gsd-execute-phase orchestrator spawns parallel subagents in waves and executes plans without per-action gating; --interactive is opt-in, not default.","The artifact explicitly instructs the agent to keep executing all plans in a phase, including spawning subagents and proceeding through waves unless `--interactive` is chosen in a repeated unattended loop rather than stopping after a single bounded action."
